freqset,support
{32 34},0.2772772772772773
{32 48},0.20453787120453787
{34 39},0.20954287620954287
{34 42},0.20887554220887555
{34 44},0.24958291624958293
{34 46},0.2529195862529196
{34 48},0.3163163163163163
{34 49},0.2535869202535869
{1 6 14},0.21421421421421422
{1 6 18},0.2175508842175509
{1 6 34},0.2012012012012012
{1 14 16},0.2082082082082082
{1 14 18},0.29262595929262597
{1 14 19},0.21988655321988657
{1 14 30},0.23890557223890557
{1 14 34},0.26559893226559894
{1 16 18},0.2092092092092092
{1 18 19},0.22288955622288956
{1 18 30},0.22489155822489157
{1 18 34},0.27060393727060394
{1 19 34},0.2032032032032032
{1 30 34},0.21354688021354687
{4 14 18},0.21988655321988657
{4 14 34},0.20053386720053387
{4 18 34},0.20453787120453787
{6 14 16},0.20854187520854187
{6 14 18},0.289622956289623
{6 14 19},0.22055388722055388
{6 14 30},0.2345679012345679
{6 14 34},0.2652652652652653
{6 16 18},0.2042042042042042
{6 18 19},0.22188855522188855
{6 18 30},0.2215548882215549
{6 18 34},0.2619285952619286
{6 19 34},0.2042042042042042
{6 30 34},0.20787454120787455
{12 14 18},0.21554888221554888
{14 16 18},0.2802802802802803
{14 16 19},0.21421421421421422
{14 16 30},0.22022022022022023
{14 16 34},0.2565899232565899
{14 18 19},0.30563897230563897
{14 18 26},0.23223223223223224
{14 18 30},0.309642976309643
{14 18 32},0.2305638972305639
{14 18 34},0.36036036036036034
{14 18 44},0.2122122122122122
{14 18 46},0.21521521521521522
{14 18 48},0.2702702702702703
{14 18 49},0.21921921921921922
{14 19 30},0.2405739072405739
{14 19 34},0.27494160827494163
{14 19 48},0.20954287620954287
{14 26 34},0.20653987320653988
{14 30 34},0.2822822822822823
{14 30 48},0.2175508842175509
{14 32 34},0.2092092092092092
{14 34 48},0.24224224224224225
{16 18 19},0.21488154821488153
{16 18 30},0.20553887220553888
{16 18 34},0.2455789122455789
{18 19 30},0.23690357023690356
{18 19 34},0.2739406072739406
{18 19 48},0.20086753420086753
{18 26 34},0.20253586920253586
{18 30 34},0.2696029362696029
{18 30 48},0.20520520520520522
{18 32 34},0.2092092092092092
{18 34 48},0.23523523523523523
{19 30 34},0.21454788121454788
{1 14 18 34},0.21054387721054388
{6 14 18 34},0.2022022022022022
{14 18 19 34},0.21521521521521522
{14 18 30 34},0.21588254921588254
